agency_option_short,agency_option_full
Capay Fire,Capay Fire District
Davis Fire,City of Davis Fire Department
Dunnigan Fire,Dunnigan Fire District
Esparto Fire,Esparto Fire District
Knights Landing Fire,Knights Landing Fire District
Madison Fire,Madison Fire District
West Plainfield Fire,West Plainfield Fire District
West Sac Fire,City of West Sacramento Fire Department
Winters Fire,City of Winters Fire Department
Woodland Fire,City of Woodland Fire Department
Yolo County,County of Yolo
Yolo Fire,Yolo Fire District
YSAQMD,Yolo Solano Air Quality Management District
