1,Fire,Capay FPD,The County of Yolo performs plan review and inspection.,,,,,
2,Fire,Clarksburg FPD,The County of Yolo performs plan review and inspection.,,,,,
3,Fire,Dunnigan FPD,The County of Yolo performs plan review and inspection.,,,,,
4,Fire,East Davis FPD,Davis Fire Department performs full plan review and inspection services in the City of Davis and the portions of Springlake Fire District SOUTH of County Road 29.,,,,,
5,Fire,Elkhorn FPD,The County of Yolo performs plan review and inspection.,,,,,
6,Fire,Esparto FPD,The County of Yolo performs plan review and inspection.,,,,,
7,Fire,Knights Landing FPD,The County of Yolo performs plan review and inspection.,,,,,
8,Fire,Madison FPD,The County of Yolo performs plan review and inspection.,,,,,
9,Fire,No Man's Land FPD,The County of Yolo performs plan review and inspection.,,,,,
10,Fire,"Springlake, Woodland FPD",Woodland Fire Department performs full plan review and inspection services in the City of Woodland and the portions of Springlake Fire District NORTH of County Road 29.,,,,,
11,Fire,"Springlake, Davis FPD",Davis Fire Department performs full plan review and inspection services in the City of Davis and the portions of Springlake Fire District SOUTH of County Road 29.,,,,,
12,Fire,West Plainfield FPD,The County of Yolo performs plan review and inspection.,,,,,
13,Fire,Willow Oak FPD,The County of Yolo performs plan review and inspection.,,,,,
14,Fire,Winters FPD,Winters Fire Department services the City of Winters and surrounding areas. Winters performs full plan review and inspection in their service area.,,,,,
15,Fire,Yolo FPD,The County of Yolo performs plan review and inspection.,,,,,
16,Fire,Zamora FPD,The County of Yolo performs plan review and inspection.,,,,,
17,RD,RD 150,Levee Reclamation District,,,,,
18,RD,RD 307,Levee Reclamation District,,,,,
19,RD,RD 537,Levee Reclamation District,,,,,
20,RD,RD 730,Levee Reclamation District,,,,,
21,RD,RD 765,Levee Reclamation District,,,,,
22,RD,RD 787,Levee Reclamation District,,,,,
23,RD,RD 900,Levee Reclamation District,,,,,
24,RD,RD 999,Levee Reclamation District,,,,,
25,RD,RD1600,Levee Reclamation District,,,,,
26,RD,RD 2035,Levee Reclamation District,,,,,
27,CSD,Cacheville CSD,Water for the town of Yolo,,,,,
28,CSD,Esparto CSD,Water and Sewer,,,,,
29,CSD,Knights Landing CSD,Water and Sewer,,,,,
30,CSD,Madison CSD,Water and Sewer,,,,,
31,Water,Dunnigan Water District,Water,,,,,
32,Water,Yolo County Flood Control and Water Conservation District,Water,,,,,
33,CSA,Dunnigan CSA,Water,,,,,
34,CSA,El Macero CSA,Water and Sewer,,,,,
35,CSA,Garcia Bend CSA,,,,,,
36,CSA,North Davis Meadows CSA,Water (Sewer Varies),,,,,
37,CSA,Snowball CSA,,,,,,
38,CSA,Wild Wings CSA,Water and Sewer,,,,,
39,CSA,Willowbank CSA,Water and Sewer,,,,,
40,Lighting,Clarksburg Lighting,Clarksburg Lighting Assessment District,,,,,
41,School,Davis,Joint Unified School District,,,,,
42,School,Esparto,Unified School District,,,,,
43,School,Washington,Unified School District,,,,,
44,School,Winters,Joint Unified School District,,,,,
